ticker_code,ticker_name
NVD.DE,NVIDIA
MBG.DE,Mercedes-Benz Group
MSF.DE,Microsoft
APC.DE,Apple
AMZ.DE,Amazon
ADS.DE,adidas AG
AIR.PA,Airbus SE
ALV.DE,Allianz
BAS.DE,BASF
BAYN.DE,Bayer Aktiengesellschaft
BEI.DE,Beiersdorf Aktiengesellschaft
BMW.DE,Bayerische Motoren Werke Aktiengesellschaft
BNR.DE,Brenntag AG
CBK.DE,Commerzbank AG
CON.DE,Continental Aktiengesellschaft
1COV.DE,Covestro AG
EVD.DE,CTS Eventim AG & Co. KGaA
DTG.DE,Daimler Truck Holding AG
DHER.DE,Delivery Hero SE
DBK.DE,Deutsche Bank Aktiengesellschaft
DB1.DE,Deutsche Börse AG
LHA.DE,Deutsche Lufthansa AG
DHL.DE,Deutsche Post AG
DTE.DE,Deutsche Telekom AG
EOAN.DE,E.ON SE
FRE.DE,Fresenius SE & Co. KGaA
FME.DE,Fresenius Medical Care AG
G1A.DE,GEA Group Aktiengesellschaft
HNR1.DE,Hannover Rück SE
HEI.DE,Heidelberg Materials AG
HEN3.DE,Henkel AG & Co. KGaA
IFX.DE,Infineon Technologies AG
KBX.DE,Knorr-Bremse AG
LEG.DE,LEG Immobilien SE
MBG.DE,Mercedes-Benz Group AG
MRK.DE,Merck KGaA
MTX.DE,MTU Aero Engines AG
MUV2.DE,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München
NEM.DE,Nemetschek SE
PAH3.DE,Porsche Automobil Holding SE
P911.DE,Porsche Vz
PUM.DE,PUMA SE
QIA.DU,Qiagen NV
RHM.DE,Rheinmetall
RWE.DE,RWE Aktiengesellschaft
SAP.DE,SAP SE
SRT3.DE,Sartorius Aktiengesellschaft
G24.DE,Scout24 SE
SIE.DE,Siemens Aktiengesellschaft
ENR.DE,Siemens Energy AG
SHL.DE,Siemens Healthineers AG
SY1.DE,Symrise AG
VOW3.DE,Volkswagen (Vz.)
VNA.DE,Vonovia SE
ZAL.DE,Zalando SE
